Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,441
design__inferred_latch__count,0
design__instance__count,1291
design__instance__area,9008.64
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,6
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0015602955827489495
power__switching__total,0.0013443146599456668
power__leakage__total,9.411491141975148E-9
power__total,0.0029046195559203625
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2560506878997566
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2635456094619426
timing__hold__ws__corner:nom_tt_025C_1v80,0.45065596974153677
timing__setup__ws__corner:nom_tt_025C_1v80,5.195212407319967
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.450656
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,5.195212
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,3
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,6
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2582318043600458
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27018330004699576
timing__hold__ws__corner:nom_ss_100C_1v60,1.1441526938618765
timing__setup__ws__corner:nom_ss_100C_1v60,0.10327561320672497
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.144153
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,0.103276
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,6
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2550260907969281
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2608571765762031
timing__hold__ws__corner:nom_ff_n40C_1v95,0.19579771691510314
timing__setup__ws__corner:nom_ff_n40C_1v95,6.993292365362417
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.195798
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.012595
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,3
design__max_fanout_violation__count,6
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2541936177939446
clock__skew__worst_setup,0.2594686761111862
timing__hold__ws,0.19158042361448882
timing__setup__ws,0.0008890666232643467
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.191580
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.000889
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 151.57 162.29
design__core__bbox,5.52 10.88 145.82 149.6
design__io,97
design__die__area,24598.3
design__core__area,19462.4
design__instance__count__stdcell,1291
design__instance__area__stdcell,9008.64
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.462874
design__instance__utilization__stdcell,0.462874
design__instance__count__class:buffer,3
design__instance__count__class:inverter,23
design__instance__count__class:sequential_cell,89
design__instance__count__class:multi_input_combinational_cell,780
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1517
design__instance__count__class:tap_cell,265
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,95
design__io__hpwl,3105386
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,19089.2
design__violations,0
design__instance__count__class:timing_repair_buffer,115
design__instance__count__class:clock_buffer,10
design__instance__count__class:clock_inverter,6
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1070
route__net__special,2
route__drc_errors__iter:1,372
route__wirelength__iter:1,21005
route__drc_errors__iter:2,101
route__wirelength__iter:2,20914
route__drc_errors__iter:3,104
route__wirelength__iter:3,20820
route__drc_errors__iter:4,9
route__wirelength__iter:4,20795
route__drc_errors__iter:5,0
route__wirelength__iter:5,20799
route__drc_errors,0
route__wirelength,20799
route__vias,6398
route__vias__singlecut,6398
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,237.63
timing__unannotated_net__count__corner:nom_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,6
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2551753325312342
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2619422253244322
timing__hold__ws__corner:min_tt_025C_1v80,0.4443350257943674
timing__setup__ws__corner:min_tt_025C_1v80,5.249345995353273
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
